city,city_ascii,lat,lng,admin_name,population,admin_name_english
Grodzisk Mazowiecki,Grodzisk Mazowiecki,"52,1089","20,625",Mazowieckie,33708,Mazovia
Olkusz,Olkusz,"50,2833","19,5667",Małopolskie,33462,Lesser Poland
Nowy Targ,Nowy Targ,"49,4667","20,0167",Małopolskie,33273,Lesser Poland
Oława,Olawa,"50,9333","17,3",Dolnośląskie,33268,Lower Silesia
Luboń,Lubon,"52,3333","16,8833",Wielkopolskie,33024,Greater Poland
Sopot,Sopot,"54,4333","18,55",Pomorskie,32962,Pomerania
Iława,Ilawa,"53,5964","19,5656",Warmińsko-Mazurskie,32664,Warmian-Masurian
Kraśnik,Krasnik,"50,9167","22,2167",Lubelskie,32593,Lublin Voivodeship
Września,Wrzesnia,"52,3333","17,5833",Wielkopolskie,31986,Greater Poland
Dzierżoniów,Dzierzoniow,"50,7281","16,6511",Dolnośląskie,31866,Lower Silesia
Pruszcz Gdański,Pruszcz Gdanski,"54,2667","18,6333",Pomorskie,31582,Pomerania
Mława,Mlawa,"53,1167","20,3667",Mazowieckie,30919,Mazovia
Czeladź,Czeladz,"50,3333","19,0833",Śląskie,30681,Silesia
Police,Police,"53,5333","14,5667",Zachodniopomorskie,30623,West Pomerania
Myszków,Myszkow,"50,5706","19,3144",Śląskie,30415,Silesia
Żywiec,Zywiec,"49,6892","19,2058",Śląskie,30334,Silesia
Rury,Rury,"51,2386","22,5164",Lubelskie,30093,Lublin Voivodeship
Zgorzelec,Zgorzelec,"51,15","15,0083",Dolnośląskie,29966,Lower Silesia
Augustów,Augustow,"53,8436","22,9794",Podlaskie,29494,Podlaskie
Swarzędz,Swarzedz,"52,4083","17,0714",Wielkopolskie,29295,Greater Poland
Bochnia,Bochnia,"49,9833","20,4333",Małopolskie,28946,Lesser Poland
Bielawa,Bielawa,"50,7","16,6167",Dolnośląskie,28896,Lower Silesia
Śrem,Srem,"52,0886","17,0147",Wielkopolskie,28835,Greater Poland
Krotoszyn,Krotoszyn,"51,6833","17,4333",Wielkopolskie,28704,Greater Poland
Nowy Dwór Mazowiecki,Nowy Dwor Mazowiecki,"52,4333","20,7167",Mazowieckie,28651,Mazovia
Brodnica,Brodnica,"53,2597","19,3956",Kujawsko-Pomorskie,28536,Kuyavian-Pomeranian
Giżycko,Gizycko,"54,04","21,7589",Warmińsko-Mazurskie,28233,Warmian-Masurian
Reda,Reda,"54,6167","18,35",Pomorskie,28190,Pomerania
Łuków,Lukow,"51,9272","22,3833",Lubelskie,27906,Lublin Voivodeship
Kobyłka,Kobylka,"52,3333","21,2",Mazowieckie,27185,Mazovia
Łowicz,Lowicz,"52,1","19,9333",Łódzkie,26928,Łódź Voivodeship
Wieliczka,Wieliczka,"49,9894","20,0661",Małopolskie,26599,Lesser Poland
Jarocin,Jarocin,"51,9667","17,5",Wielkopolskie,26565,Greater Poland
Gorlice,Gorlice,"49,6547","21,1597",Małopolskie,26405,Lesser Poland
Wyszków,Wyszkow,"52,5928","21,4584",Mazowieckie,26349,Mazovia
Kętrzyn,Ketrzyn,"54,0833","21,3833",Warmińsko-Mazurskie,26174,Warmian-Masurian
Halemba,Halemba,"50,2378","18,8633",Śląskie,26080,Silesia
Wągrowiec,Wagrowiec,"52,8","17,2",Wielkopolskie,25773,Greater Poland
Zakopane,Zakopane,"49,3","19,95",Małopolskie,25770,Lesser Poland
Kłodzko,Klodzko,"50,4333","16,65",Dolnośląskie,25717,Lower Silesia
Pszczyna,Pszczyna,"49,9833","18,95",Śląskie,25565,Silesia
Biłgoraj,Bilgoraj,"50,55","22,7333",Lubelskie,25459,Lublin Voivodeship
Turek,Turek,"52,0167","18,5",Wielkopolskie,25376,Greater Poland
Świecie,Swiecie,"53,4167","18,4333",Kujawsko-Pomorskie,24796,Kuyavian-Pomeranian
Bielsk Podlaski,Bielsk Podlaski,"52,7667","23,2",Podlaskie,24633,Podlaskie
Żagań,Zagan,"51,6167","15,3167",Lubuskie,24424,Lubusz
Środa Wielkopolska,Sroda Wielkopolska,"52,2333","17,2833",Wielkopolskie,24225,Greater Poland
Skawina,Skawina,"49,9833","19,8333",Małopolskie,24177,Lesser Poland
Wałcz,Walcz,"53,2667","16,4667",Zachodniopomorskie,24167,West Pomerania
Kościan,Koscian,"52,0833","16,65",Wielkopolskie,24022,Greater Poland
Kościerzyna,Koscierzyna,"54,1167","17,9833",Pomorskie,23723,Pomerania
Lubliniec,Lubliniec,"50,6833","18,6833",Śląskie,23660,Silesia
Piastów,Piastow,"52,1833","20,85",Mazowieckie,23281,Mazovia
Białogard,Bialogard,54,"15,9833",Zachodniopomorskie,23142,West Pomerania
Zduńska Wola,Zdunska Wola,"51,6","18,9667",Łódzkie,22904,Łódź Voivodeship
Kluczbork,Kluczbork,"50,9833","18,2167",Opolskie,22703,Opole Voivodeship
Szczytno,Szczytno,"53,5628","20,9853",Warmińsko-Mazurskie,22389,Warmian-Masurian
Bartoszyce,Bartoszyce,"54,25","20,8",Warmińsko-Mazurskie,22281,Warmian-Masurian
Świebodzice,Swiebodzice,"50,8667","16,3333",Dolnośląskie,22219,Lower Silesia
Sandomierz,Sandomierz,"50,6833","21,75",Świętokrzyskie,22189,Holy Cross
Goleniów,Goleniow,"53,5636","14,8281",Zachodniopomorskie,22166,West Pomerania
Aleksandrów Łódzki,Aleksandrow Lodzki,"51,8194","19,3039",Łódzkie,22148,Łódź Voivodeship
Ostrów Mazowiecka,Ostrow Mazowiecka,"52,8","21,9",Mazowieckie,22013,Mazovia
Płońsk,Plonsk,"52,6333","20,3833",Mazowieckie,21800,Mazovia
Polkowice,Polkowice,"51,5","16,0667",Dolnośląskie,21786,Lower Silesia
